PassengerId,Survived,Sex,Age
764,1,female,36
765,0,male,16
766,1,female,51
767,0,male,
768,0,female,30.5
769,0,male,
770,0,male,32
771,0,male,24
772,0,male,48
773,0,female,57
774,0,male,
775,1,female,54
776,0,male,18
777,0,male,
778,1,female,5
779,0,male,
780,1,female,43
781,1,female,13
782,1,female,17
783,0,male,29
784,0,male,
785,0,male,25
786,0,male,25
787,1,female,18
788,0,male,8
789,1,male,1
790,0,male,46
791,0,male,
792,0,male,16
793,0,female,
794,0,male,
795,0,male,25
796,0,male,39
797,1,female,49
798,1,female,31
799,0,male,30
800,0,female,30
801,0,male,34
802,1,female,31
803,1,male,11
804,1,male,0.42
805,1,male,27
806,0,male,31
807,0,male,39
808,0,female,18
809,0,male,39
810,1,female,33
811,0,male,26
812,0,male,39
813,0,male,35
814,0,female,6
815,0,male,30.5
816,0,male,
817,0,female,23
818,0,male,31
819,0,male,43
820,0,male,10
821,1,female,52
822,1,male,27
823,0,male,38
824,1,female,27
825,0,male,2
826,0,male,
827,0,male,
828,1,male,1
829,1,male,
830,1,female,62
831,1,female,15
832,1,male,0.83
833,0,male,
834,0,male,23
835,0,male,18
836,1,female,39
837,0,male,21
838,0,male,
839,1,male,32
840,1,male,
841,0,male,20
842,0,male,16
843,1,female,30
844,0,male,34.5
845,0,male,17
846,0,male,42
847,0,male,
848,0,male,35
849,0,male,28
850,1,female,
851,0,male,4
852,0,male,74
853,0,female,9
854,1,female,16
855,0,female,44
856,1,female,18
857,1,female,45
858,1,male,51
859,1,female,24
860,0,male,
861,0,male,41
862,0,male,21
863,1,female,48
864,0,female,
865,0,male,24
866,1,female,42
867,1,female,27
868,0,male,31
869,0,male,
870,1,male,4
871,0,male,26
872,1,female,47
873,0,male,33
874,0,male,47
875,1,female,28
876,1,female,15
877,0,male,20
878,0,male,19
879,0,male,
880,1,female,56
881,1,female,25
882,0,male,33
883,0,female,22
884,0,male,28
885,0,male,25
886,0,female,39
887,0,male,27
888,1,female,19
889,0,female,
890,1,male,26
891,0,male,32
