PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
143,1,3,female,24,1,0,15.85
144,0,3,male,19,0,0,6.75
145,0,2,male,18,0,0,11.5
146,0,2,male,19,1,1,36.75
147,1,3,male,27,0,0,7.7958
148,0,3,female,9,2,2,34.375
149,0,2,male,36.5,0,2,26
150,0,2,male,42,0,0,13
151,0,2,male,51,0,0,12.525
152,1,1,female,22,1,0,66.6
153,0,3,male,55.5,0,0,8.05
154,0,3,male,40.5,0,2,14.5
155,0,3,male,,0,0,7.3125
156,0,1,male,51,0,1,61.3792
157,1,3,female,16,0,0,7.7333
158,0,3,male,30,0,0,8.05
159,0,3,male,,0,0,8.6625
160,0,3,male,,8,2,69.55
161,0,3,male,44,0,1,16.1
162,1,2,female,40,0,0,15.75
163,0,3,male,26,0,0,7.775
164,0,3,male,17,0,0,8.6625
165,0,3,male,1,4,1,39.6875
166,1,3,male,9,0,2,20.525
167,1,1,female,,0,1,55
168,0,3,female,45,1,4,27.9
169,0,1,male,,0,0,25.925
170,0,3,male,28,0,0,56.4958
171,0,1,male,61,0,0,33.5
172,0,3,male,4,4,1,29.125
173,1,3,female,1,1,1,11.1333
174,0,3,male,21,0,0,7.925
175,0,1,male,56,0,0,30.6958
176,0,3,male,18,1,1,7.8542
177,0,3,male,,3,1,25.4667
178,0,1,female,50,0,0,28.7125
179,0,2,male,30,0,0,13
180,0,3,male,36,0,0,0
181,0,3,female,,8,2,69.55
182,0,2,male,,0,0,15.05
183,0,3,male,9,4,2,31.3875
184,1,2,male,1,2,1,39
185,1,3,female,4,0,2,22.025
186,0,1,male,,0,0,50
187,1,3,female,,1,0,15.5
188,1,1,male,45,0,0,26.55
189,0,3,male,40,1,1,15.5
190,0,3,male,36,0,0,7.8958
191,1,2,female,32,0,0,13
192,0,2,male,19,0,0,13
193,1,3,female,19,1,0,7.8542
194,1,2,male,3,1,1,26
195,1,1,female,44,0,0,27.7208
196,1,1,female,58,0,0,146.5208
197,0,3,male,,0,0,7.75
198,0,3,male,42,0,1,8.4042
199,1,3,female,,0,0,7.75
200,0,2,female,24,0,0,13
201,0,3,male,28,0,0,9.5
202,0,3,male,,8,2,69.55
203,0,3,male,34,0,0,6.4958
204,0,3,male,45.5,0,0,7.225
205,1,3,male,18,0,0,8.05
206,0,3,female,2,0,1,10.4625
207,0,3,male,32,1,0,15.85
208,1,3,male,26,0,0,18.7875
209,1,3,female,16,0,0,7.75
210,1,1,male,40,0,0,31
211,0,3,male,24,0,0,7.05
212,1,2,female,35,0,0,21
213,0,3,male,22,0,0,7.25
214,0,2,male,30,0,0,13
215,0,3,male,,1,0,7.75
216,1,1,female,31,1,0,113.275
217,1,3,female,27,0,0,7.925
218,0,2,male,42,1,0,27
219,1,1,female,32,0,0,76.2917
220,0,2,male,30,0,0,10.5
221,1,3,male,16,0,0,8.05
222,0,2,male,27,0,0,13
223,0,3,male,51,0,0,8.05
224,0,3,male,,0,0,7.8958
225,1,1,male,38,1,0,90
226,0,3,male,22,0,0,9.35
227,1,2,male,19,0,0,10.5
228,0,3,male,20.5,0,0,7.25
229,0,2,male,18,0,0,13
230,0,3,female,,3,1,25.4667
231,1,1,female,35,1,0,83.475
232,0,3,male,29,0,0,7.775
233,0,2,male,59,0,0,13.5
234,1,3,female,5,4,2,31.3875
235,0,2,male,24,0,0,10.5
236,0,3,female,,0,0,7.55
237,0,2,male,44,1,0,26
238,1,2,female,8,0,2,26.25
239,0,2,male,19,0,0,10.5
240,0,2,male,33,0,0,12.275
241,0,3,female,,1,0,14.4542
242,1,3,female,,1,0,15.5
243,0,2,male,29,0,0,10.5
244,0,3,male,22,0,0,7.125
245,0,3,male,30,0,0,7.225
246,0,1,male,44,2,0,90
247,0,3,female,25,0,0,7.775
248,1,2,female,24,0,2,14.5
249,1,1,male,37,1,1,52.5542
250,0,2,male,54,1,0,26
251,0,3,male,,0,0,7.25
252,0,3,female,29,1,1,10.4625
253,0,1,male,62,0,0,26.55
254,0,3,male,30,1,0,16.1
255,0,3,female,41,0,2,20.2125
256,1,3,female,29,0,2,15.2458
257,1,1,female,,0,0,79.2
258,1,1,female,30,0,0,86.5
259,1,1,female,35,0,0,512.3292
260,1,2,female,50,0,1,26
261,0,3,male,,0,0,7.75
262,1,3,male,3,4,2,31.3875
263,0,1,male,52,1,1,79.65
264,0,1,male,40,0,0,0
265,0,3,female,,0,0,7.75
266,0,2,male,36,0,0,10.5
267,0,3,male,16,4,1,39.6875
268,1,3,male,25,1,0,7.775
269,1,1,female,58,0,1,153.4625
270,1,1,female,35,0,0,135.6333
271,0,1,male,,0,0,31
272,1,3,male,25,0,0,0
273,1,2,female,41,0,1,19.5
274,0,1,male,37,0,1,29.7
275,1,3,female,,0,0,7.75
276,1,1,female,63,1,0,77.9583
277,0,3,female,45,0,0,7.75
278,0,2,male,,0,0,0
279,0,3,male,7,4,1,29.125
280,1,3,female,35,1,1,20.25
281,0,3,male,65,0,0,7.75
282,0,3,male,28,0,0,7.8542
283,0,3,male,16,0,0,9.5
284,1,3,male,19,0,0,8.05
285,0,1,male,,0,0,26
286,0,3,male,33,0,0,8.6625
287,1,3,male,30,0,0,9.5
288,0,3,male,22,0,0,7.8958
289,1,2,male,42,0,0,13
290,1,3,female,22,0,0,7.75
291,1,1,female,26,0,0,78.85
292,1,1,female,19,1,0,91.0792
293,0,2,male,36,0,0,12.875
294,0,3,female,24,0,0,8.85
295,0,3,male,24,0,0,7.8958
296,0,1,male,,0,0,27.7208
297,0,3,male,23.5,0,0,7.2292
298,0,1,female,2,1,2,151.55
299,1,1,male,,0,0,30.5
300,1,1,female,50,0,1,247.5208
301,1,3,female,,0,0,7.75
302,1,3,male,,2,0,23.25
303,0,3,male,19,0,0,0
304,1,2,female,,0,0,12.35
305,0,3,male,,0,0,8.05
306,1,1,male,0.92,1,2,151.55
307,1,1,female,,0,0,110.8833
308,1,1,female,17,1,0,108.9
309,0,2,male,30,1,0,24
310,1,1,female,30,0,0,56.9292
311,1,1,female,24,0,0,83.1583
312,1,1,female,18,2,2,262.375
313,0,2,female,26,1,1,26
314,0,3,male,28,0,0,7.8958
315,0,2,male,43,1,1,26.25
316,1,3,female,26,0,0,7.8542
317,1,2,female,24,1,0,26
318,0,2,male,54,0,0,14
319,1,1,female,31,0,2,164.8667
320,1,1,female,40,1,1,134.5
321,0,3,male,22,0,0,7.25
322,0,3,male,27,0,0,7.8958
323,1,2,female,30,0,0,12.35
324,1,2,female,22,1,1,29
325,0,3,male,,8,2,69.55
326,1,1,female,36,0,0,135.6333
327,0,3,male,61,0,0,6.2375
328,1,2,female,36,0,0,13
329,1,3,female,31,1,1,20.525
330,1,1,female,16,0,1,57.9792
331,1,3,female,,2,0,23.25
332,0,1,male,45.5,0,0,28.5
333,0,1,male,38,0,1,153.4625
334,0,3,male,16,2,0,18
335,1,1,female,,1,0,133.65
336,0,3,male,,0,0,7.8958
337,0,1,male,29,1,0,66.6
338,1,1,female,41,0,0,134.5
339,1,3,male,45,0,0,8.05
340,0,1,male,45,0,0,35.5
341,1,2,male,2,1,1,26
342,1,1,female,24,3,2,263
343,0,2,male,28,0,0,13
344,0,2,male,25,0,0,13
345,0,2,male,36,0,0,13
346,1,2,female,24,0,0,13
347,1,2,female,40,0,0,13
348,1,3,female,,1,0,16.1
349,1,3,male,3,1,1,15.9
350,0,3,male,42,0,0,8.6625
351,0,3,male,23,0,0,9.225
352,0,1,male,,0,0,35
353,0,3,male,15,1,1,7.2292
354,0,3,male,25,1,0,17.8
355,0,3,male,,0,0,7.225
356,0,3,male,28,0,0,9.5
357,1,1,female,22,0,1,55
358,0,2,female,38,0,0,13
359,1,3,female,,0,0,7.8792
360,1,3,female,,0,0,7.8792
361,0,3,male,40,1,4,27.9
362,0,2,male,29,1,0,27.7208
363,0,3,female,45,0,1,14.4542
364,0,3,male,35,0,0,7.05
365,0,3,male,,1,0,15.5
366,0,3,male,30,0,0,7.25
367,1,1,female,60,1,0,75.25
368,1,3,female,,0,0,7.2292
369,1,3,female,,0,0,7.75
370,1,1,female,24,0,0,69.3
371,1,1,male,25,1,0,55.4417
372,0,3,male,18,1,0,6.4958
373,0,3,male,19,0,0,8.05
374,0,1,male,22,0,0,135.6333
375,0,3,female,3,3,1,21.075
376,1,1,female,,1,0,82.1708
377,1,3,female,22,0,0,7.25
378,0,1,male,27,0,2,211.5
379,0,3,male,20,0,0,4.0125
380,0,3,male,19,0,0,7.775
381,1,1,female,42,0,0,227.525
382,1,3,female,1,0,2,15.7417
383,0,3,male,32,0,0,7.925
384,1,1,female,35,1,0,52
385,0,3,male,,0,0,7.8958
386,0,2,male,18,0,0,73.5
387,0,3,male,1,5,2,46.9
388,1,2,female,36,0,0,13
389,0,3,male,,0,0,7.7292
390,1,2,female,17,0,0,12
391,1,1,male,36,1,2,120
392,1,3,male,21,0,0,7.7958
393,0,3,male,28,2,0,7.925
394,1,1,female,23,1,0,113.275
395,1,3,female,24,0,2,16.7
396,0,3,male,22,0,0,7.7958
397,0,3,female,31,0,0,7.8542
398,0,2,male,46,0,0,26
399,0,2,male,23,0,0,10.5
400,1,2,female,28,0,0,12.65
401,1,3,male,39,0,0,7.925
402,0,3,male,26,0,0,8.05
403,0,3,female,21,1,0,9.825
404,0,3,male,28,1,0,15.85
405,0,3,female,20,0,0,8.6625
406,0,2,male,34,1,0,21
407,0,3,male,51,0,0,7.75
408,1,2,male,3,1,1,18.75
409,0,3,male,21,0,0,7.775
410,0,3,female,,3,1,25.4667
411,0,3,male,,0,0,7.8958
412,0,3,male,,0,0,6.8583
413,1,1,female,33,1,0,90
414,0,2,male,,0,0,0
415,1,3,male,44,0,0,7.925
416,0,3,female,,0,0,8.05
417,1,2,female,34,1,1,32.5
418,1,2,female,18,0,2,13
419,0,2,male,30,0,0,13
420,0,3,female,10,0,2,24.15
421,0,3,male,,0,0,7.8958
422,0,3,male,21,0,0,7.7333
423,0,3,male,29,0,0,7.875
424,0,3,female,28,1,1,14.4
425,0,3,male,18,1,1,20.2125
426,0,3,male,,0,0,7.25
427,1,2,female,28,1,0,26
428,1,2,female,19,0,0,26
429,0,3,male,,0,0,7.75
430,1,3,male,32,0,0,8.05
431,1,1,male,28,0,0,26.55
432,1,3,female,,1,0,16.1
433,1,2,female,42,1,0,26
434,0,3,male,17,0,0,7.125
435,0,1,male,50,1,0,55.9
436,1,1,female,14,1,2,120
437,0,3,female,21,2,2,34.375
438,1,2,female,24,2,3,18.75
439,0,1,male,64,1,4,263
440,0,2,male,31,0,0,10.5
441,1,2,female,45,1,1,26.25
442,0,3,male,20,0,0,9.5
443,0,3,male,25,1,0,7.775
444,1,2,female,28,0,0,13
445,1,3,male,,0,0,8.1125
446,1,1,male,4,0,2,81.8583
447,1,2,female,13,0,1,19.5
448,1,1,male,34,0,0,26.55
449,1,3,female,5,2,1,19.2583
450,1,1,male,52,0,0,30.5
451,0,2,male,36,1,2,27.75
452,0,3,male,,1,0,19.9667
453,0,1,male,30,0,0,27.75
454,1,1,male,49,1,0,89.1042
455,0,3,male,,0,0,8.05
456,1,3,male,29,0,0,7.8958
457,0,1,male,65,0,0,26.55
458,1,1,female,,1,0,51.8625
459,1,2,female,50,0,0,10.5
460,0,3,male,,0,0,7.75
461,1,1,male,48,0,0,26.55
462,0,3,male,34,0,0,8.05
463,0,1,male,47,0,0,38.5
464,0,2,male,48,0,0,13
465,0,3,male,,0,0,8.05
466,0,3,male,38,0,0,7.05
467,0,2,male,,0,0,0
468,0,1,male,56,0,0,26.55
469,0,3,male,,0,0,7.725
470,1,3,female,0.75,2,1,19.2583
471,0,3,male,,0,0,7.25
472,0,3,male,38,0,0,8.6625
473,1,2,female,33,1,2,27.75
474,1,2,female,23,0,0,13.7917
475,0,3,female,22,0,0,9.8375
476,0,1,male,,0,0,52
477,0,2,male,34,1,0,21
478,0,3,male,29,1,0,7.0458
479,0,3,male,22,0,0,7.5208
480,1,3,female,2,0,1,12.2875
481,0,3,male,9,5,2,46.9
482,0,2,male,,0,0,0
483,0,3,male,50,0,0,8.05
484,1,3,female,63,0,0,9.5875
485,1,1,male,25,1,0,91.0792
486,0,3,female,,3,1,25.4667
487,1,1,female,35,1,0,90
488,0,1,male,58,0,0,29.7
489,0,3,male,30,0,0,8.05
490,1,3,male,9,1,1,15.9
491,0,3,male,,1,0,19.9667
492,0,3,male,21,0,0,7.25
493,0,1,male,55,0,0,30.5
494,0,1,male,71,0,0,49.5042
495,0,3,male,21,0,0,8.05
496,0,3,male,,0,0,14.4583
497,1,1,female,54,1,0,78.2667
498,0,3,male,,0,0,15.1
499,0,1,female,25,1,2,151.55
500,0,3,male,24,0,0,7.7958
501,0,3,male,17,0,0,8.6625
502,0,3,female,21,0,0,7.75
503,0,3,female,,0,0,7.6292
504,0,3,female,37,0,0,9.5875
505,1,1,female,16,0,0,86.5
506,0,1,male,18,1,0,108.9
507,1,2,female,33,0,2,26
508,1,1,male,,0,0,26.55
509,0,3,male,28,0,0,22.525
510,1,3,male,26,0,0,56.4958
511,1,3,male,29,0,0,7.75
512,0,3,male,,0,0,8.05
513,1,1,male,36,0,0,26.2875
514,1,1,female,54,1,0,59.4
515,0,3,male,24,0,0,7.4958
516,0,1,male,47,0,0,34.0208
517,1,2,female,34,0,0,10.5
518,0,3,male,,0,0,24.15
519,1,2,female,36,1,0,26
520,0,3,male,32,0,0,7.8958
521,1,1,female,30,0,0,93.5
522,0,3,male,22,0,0,7.8958
523,0,3,male,,0,0,7.225
524,1,1,female,44,0,1,57.9792
525,0,3,male,,0,0,7.2292
526,0,3,male,40.5,0,0,7.75
527,1,2,female,50,0,0,10.5
528,0,1,male,,0,0,221.7792
529,0,3,male,39,0,0,7.925
530,0,2,male,23,2,1,11.5
531,1,2,female,2,1,1,26
532,0,3,male,,0,0,7.2292
533,0,3,male,17,1,1,7.2292
534,1,3,female,,0,2,22.3583
535,0,3,female,30,0,0,8.6625
536,1,2,female,7,0,2,26.25
537,0,1,male,45,0,0,26.55
538,1,1,female,30,0,0,106.425
539,0,3,male,,0,0,14.5
540,1,1,female,22,0,2,49.5
541,1,1,female,36,0,2,71
542,0,3,female,9,4,2,31.275
543,0,3,female,11,4,2,31.275
544,1,2,male,32,1,0,26
545,0,1,male,50,1,0,106.425
546,0,1,male,64,0,0,26
547,1,2,female,19,1,0,26
548,1,2,male,,0,0,13.8625
549,0,3,male,33,1,1,20.525
550,1,2,male,8,1,1,36.75
551,1,1,male,17,0,2,110.8833
552,0,2,male,27,0,0,26
553,0,3,male,,0,0,7.8292
554,1,3,male,22,0,0,7.225
555,1,3,female,22,0,0,7.775
556,0,1,male,62,0,0,26.55
557,1,1,female,48,1,0,39.6
558,0,1,male,,0,0,227.525
559,1,1,female,39,1,1,79.65
560,1,3,female,36,1,0,17.4
561,0,3,male,,0,0,7.75
562,0,3,male,40,0,0,7.8958
563,0,2,male,28,0,0,13.5
564,0,3,male,,0,0,8.05
565,0,3,female,,0,0,8.05
566,0,3,male,24,2,0,24.15
567,0,3,male,19,0,0,7.8958
568,0,3,female,29,0,4,21.075
569,0,3,male,,0,0,7.2292
570,1,3,male,32,0,0,7.8542
571,1,2,male,62,0,0,10.5
572,1,1,female,53,2,0,51.4792
573,1,1,male,36,0,0,26.3875
574,1,3,female,,0,0,7.75
575,0,3,male,16,0,0,8.05
576,0,3,male,19,0,0,14.5
577,1,2,female,34,0,0,13
578,1,1,female,39,1,0,55.9
579,0,3,female,,1,0,14.4583
580,1,3,male,32,0,0,7.925
581,1,2,female,25,1,1,30
582,1,1,female,39,1,1,110.8833
583,0,2,male,54,0,0,26
584,0,1,male,36,0,0,40.125
585,0,3,male,,0,0,8.7125
586,1,1,female,18,0,2,79.65
587,0,2,male,47,0,0,15
588,1,1,male,60,1,1,79.2
589,0,3,male,22,0,0,8.05
590,0,3,male,,0,0,8.05
591,0,3,male,35,0,0,7.125
592,1,1,female,52,1,0,78.2667
593,0,3,male,47,0,0,7.25
594,0,3,female,,0,2,7.75
595,0,2,male,37,1,0,26
596,0,3,male,36,1,1,24.15
597,1,2,female,,0,0,33
598,0,3,male,49,0,0,0
599,0,3,male,,0,0,7.225
600,1,1,male,49,1,0,56.9292
601,1,2,female,24,2,1,27
602,0,3,male,,0,0,7.8958
603,0,1,male,,0,0,42.4
604,0,3,male,44,0,0,8.05
605,1,1,male,35,0,0,26.55
606,0,3,male,36,1,0,15.55
607,0,3,male,30,0,0,7.8958
608,1,1,male,27,0,0,30.5
609,1,2,female,22,1,2,41.5792
610,1,1,female,40,0,0,153.4625
611,0,3,female,39,1,5,31.275
612,0,3,male,,0,0,7.05
613,1,3,female,,1,0,15.5
614,0,3,male,,0,0,7.75
615,0,3,male,35,0,0,8.05
616,1,2,female,24,1,2,65
617,0,3,male,34,1,1,14.4
618,0,3,female,26,1,0,16.1
619,1,2,female,4,2,1,39
620,0,2,male,26,0,0,10.5
621,0,3,male,27,1,0,14.4542
622,1,1,male,42,1,0,52.5542
623,1,3,male,20,1,1,15.7417
624,0,3,male,21,0,0,7.8542
625,0,3,male,21,0,0,16.1
626,0,1,male,61,0,0,32.3208
627,0,2,male,57,0,0,12.35
628,1,1,female,21,0,0,77.9583
629,0,3,male,26,0,0,7.8958
630,0,3,male,,0,0,7.7333
631,1,1,male,80,0,0,30
632,0,3,male,51,0,0,7.0542
633,1,1,male,32,0,0,30.5
634,0,1,male,,0,0,0
635,0,3,female,9,3,2,27.9
636,1,2,female,28,0,0,13
637,0,3,male,32,0,0,7.925
638,0,2,male,31,1,1,26.25
639,0,3,female,41,0,5,39.6875
640,0,3,male,,1,0,16.1
641,0,3,male,20,0,0,7.8542
642,1,1,female,24,0,0,69.3
643,0,3,female,2,3,2,27.9
644,1,3,male,,0,0,56.4958
645,1,3,female,0.75,2,1,19.2583
646,1,1,male,48,1,0,76.7292
647,0,3,male,19,0,0,7.8958
648,1,1,male,56,0,0,35.5
649,0,3,male,,0,0,7.55
650,1,3,female,23,0,0,7.55
651,0,3,male,,0,0,7.8958
652,1,2,female,18,0,1,23
653,0,3,male,21,0,0,8.4333
654,1,3,female,,0,0,7.8292
655,0,3,female,18,0,0,6.75
656,0,2,male,24,2,0,73.5
657,0,3,male,,0,0,7.8958
658,0,3,female,32,1,1,15.5
659,0,2,male,23,0,0,13
660,0,1,male,58,0,2,113.275
661,1,1,male,50,2,0,133.65
662,0,3,male,40,0,0,7.225
663,0,1,male,47,0,0,25.5875
664,0,3,male,36,0,0,7.4958
665,1,3,male,20,1,0,7.925
666,0,2,male,32,2,0,73.5
667,0,2,male,25,0,0,13
668,0,3,male,,0,0,7.775
669,0,3,male,43,0,0,8.05
670,1,1,female,,1,0,52
671,1,2,female,40,1,1,39
672,0,1,male,31,1,0,52
673,0,2,male,70,0,0,10.5
674,1,2,male,31,0,0,13
675,0,2,male,,0,0,0
676,0,3,male,18,0,0,7.775
677,0,3,male,24.5,0,0,8.05
678,1,3,female,18,0,0,9.8417
679,0,3,female,43,1,6,46.9
680,1,1,male,36,0,1,512.3292
681,0,3,female,,0,0,8.1375
682,1,1,male,27,0,0,76.7292
683,0,3,male,20,0,0,9.225
684,0,3,male,14,5,2,46.9
685,0,2,male,60,1,1,39
686,0,2,male,25,1,2,41.5792
687,0,3,male,14,4,1,39.6875
688,0,3,male,19,0,0,10.1708
689,0,3,male,18,0,0,7.7958
690,1,1,female,15,0,1,211.3375
691,1,1,male,31,1,0,57
692,1,3,female,4,0,1,13.4167
693,1,3,male,,0,0,56.4958
694,0,3,male,25,0,0,7.225
695,0,1,male,60,0,0,26.55
696,0,2,male,52,0,0,13.5
697,0,3,male,44,0,0,8.05
698,1,3,female,,0,0,7.7333
699,0,1,male,49,1,1,110.8833
700,0,3,male,42,0,0,7.65
701,1,1,female,18,1,0,227.525
702,1,1,male,35,0,0,26.2875
703,0,3,female,18,0,1,14.4542
704,0,3,male,25,0,0,7.7417
705,0,3,male,26,1,0,7.8542
706,0,2,male,39,0,0,26
707,1,2,female,45,0,0,13.5
708,1,1,male,42,0,0,26.2875
709,1,1,female,22,0,0,151.55
710,1,3,male,,1,1,15.2458
711,1,1,female,24,0,0,49.5042
712,0,1,male,,0,0,26.55
713,1,1,male,48,1,0,52
714,0,3,male,29,0,0,9.4833
715,0,2,male,52,0,0,13
716,0,3,male,19,0,0,7.65
717,1,1,female,38,0,0,227.525
718,1,2,female,27,0,0,10.5
719,0,3,male,,0,0,15.5
720,0,3,male,33,0,0,7.775
721,1,2,female,6,0,1,33
722,0,3,male,17,1,0,7.0542
723,0,2,male,34,0,0,13
724,0,2,male,50,0,0,13
725,1,1,male,27,1,0,53.1
726,0,3,male,20,0,0,8.6625
727,1,2,female,30,3,0,21
728,1,3,female,,0,0,7.7375
729,0,2,male,25,1,0,26
730,0,3,female,25,1,0,7.925
731,1,1,female,29,0,0,211.3375
732,0,3,male,11,0,0,18.7875
733,0,2,male,,0,0,0
734,0,2,male,23,0,0,13
735,0,2,male,23,0,0,13
736,0,3,male,28.5,0,0,16.1
737,0,3,female,48,1,3,34.375
738,1,1,male,35,0,0,512.3292
739,0,3,male,,0,0,7.8958
740,0,3,male,,0,0,7.8958
741,1,1,male,,0,0,30
742,0,1,male,36,1,0,78.85
743,1,1,female,21,2,2,262.375
744,0,3,male,24,1,0,16.1
745,1,3,male,31,0,0,7.925
746,0,1,male,70,1,1,71
747,0,3,male,16,1,1,20.25
748,1,2,female,30,0,0,13
749,0,1,male,19,1,0,53.1
750,0,3,male,31,0,0,7.75
751,1,2,female,4,1,1,23
752,1,3,male,6,0,1,12.475
753,0,3,male,33,0,0,9.5
754,0,3,male,23,0,0,7.8958
755,1,2,female,48,1,2,65
756,1,2,male,0.67,1,1,14.5
757,0,3,male,28,0,0,7.7958
758,0,2,male,18,0,0,11.5
759,0,3,male,34,0,0,8.05
760,1,1,female,33,0,0,86.5
761,0,3,male,,0,0,14.5
762,0,3,male,41,0,0,7.125
763,1,3,male,20,0,0,7.2292
764,1,1,female,36,1,2,120
765,0,3,male,16,0,0,7.775
766,1,1,female,51,1,0,77.9583
767,0,1,male,,0,0,39.6
768,0,3,female,30.5,0,0,7.75
769,0,3,male,,1,0,24.15
770,0,3,male,32,0,0,8.3625
771,0,3,male,24,0,0,9.5
772,0,3,male,48,0,0,7.8542
773,0,2,female,57,0,0,10.5
774,0,3,male,,0,0,7.225
775,1,2,female,54,1,3,23
776,0,3,male,18,0,0,7.75
777,0,3,male,,0,0,7.75
778,1,3,female,5,0,0,12.475
779,0,3,male,,0,0,7.7375
780,1,1,female,43,0,1,211.3375
781,1,3,female,13,0,0,7.2292
