PassengerId,Survived,Sex
259,1,female
260,1,female
261,0,male
262,1,male
263,0,male
264,0,male
265,0,female
266,0,male
267,0,male
268,1,male
269,1,female
270,1,female
271,0,male
272,1,male
273,1,female
274,0,male
275,1,female
276,1,female
277,0,female
278,0,male
279,0,male
280,1,female
281,0,male
282,0,male
283,0,male
284,1,male
285,0,male
286,0,male
287,1,male
288,0,male
289,1,male
290,1,female
291,1,female
292,1,female
293,0,male
294,0,female
295,0,male
296,0,male
297,0,male
298,0,female
299,1,male
300,1,female
301,1,female
302,1,male
303,0,male
304,1,female
305,0,male
306,1,male
307,1,female
308,1,female
309,0,male
310,1,female
311,1,female
312,1,female
313,0,female
314,0,male
315,0,male
316,1,female
317,1,female
318,0,male
319,1,female
320,1,female
321,0,male
322,0,male
323,1,female
324,1,female
325,0,male
326,1,female
327,0,male
328,1,female
329,1,female
330,1,female
331,1,female
332,0,male
333,0,male
334,0,male
335,1,female
336,0,male
337,0,male
338,1,female
339,1,male
340,0,male
341,1,male
342,1,female
343,0,male
344,0,male
345,0,male
346,1,female
347,1,female
348,1,female
349,1,male
350,0,male
351,0,male
352,0,male
353,0,male
354,0,male
355,0,male
356,0,male
357,1,female
358,0,female
359,1,female
360,1,female
361,0,male
362,0,male
363,0,female
364,0,male
365,0,male
366,0,male
367,1,female
368,1,female
369,1,female
370,1,female
371,1,male
372,0,male
373,0,male
374,0,male
375,0,female
376,1,female
377,1,female
378,0,male
379,0,male
380,0,male
381,1,female
382,1,female
383,0,male
384,1,female
385,0,male
386,0,male
387,0,male
388,1,female
389,0,male
390,1,female
391,1,male
392,1,male
393,0,male
394,1,female
395,1,female
396,0,male
397,0,female
398,0,male
399,0,male
400,1,female
401,1,male
402,0,male
403,0,female
404,0,male
405,0,female
406,0,male
407,0,male
408,1,male
409,0,male
410,0,female
411,0,male
412,0,male
413,1,female
414,0,male
415,1,male
416,0,female
417,1,female
418,1,female
419,0,male
420,0,female
421,0,male
422,0,male
423,0,male
424,0,female
425,0,male
426,0,male
427,1,female
428,1,female
429,0,male
430,1,male
431,1,male
432,1,female
433,1,female
434,0,male
435,0,male
436,1,female
437,0,female
438,1,female
439,0,male
440,0,male
441,1,female
442,0,male
443,0,male
444,1,female
445,1,male
446,1,male
447,1,female
448,1,male
449,1,female
450,1,male
451,0,male
452,0,male
453,0,male
454,1,male
455,0,male
456,1,male
457,0,male
458,1,female
459,1,female
460,0,male
461,1,male
462,0,male
463,0,male
464,0,male
465,0,male
466,0,male
467,0,male
468,0,male
469,0,male
470,1,female
471,0,male
472,0,male
473,1,female
474,1,female
475,0,female
476,0,male
477,0,male
478,0,male
479,0,male
480,1,female
481,0,male
482,0,male
483,0,male
484,1,female
485,1,male
486,0,female
487,1,female
488,0,male
489,0,male
490,1,male
491,0,male
492,0,male
493,0,male
494,0,male
495,0,male
496,0,male
497,1,female
498,0,male
499,0,female
500,0,male
501,0,male
502,0,female
503,0,female
504,0,female
505,1,female
506,0,male
507,1,female
508,1,male
509,0,male
510,1,male
511,1,male
512,0,male
513,1,male
514,1,female
515,0,male
516,0,male
517,1,female
518,0,male
519,1,female
520,0,male
521,1,female
522,0,male
523,0,male
524,1,female
525,0,male
526,0,male
527,1,female
528,0,male
529,0,male
530,0,male
531,1,female
532,0,male
533,0,male
534,1,female
535,0,female
536,1,female
537,0,male
538,1,female
539,0,male
540,1,female
541,1,female
542,0,female
543,0,female
544,1,male
545,0,male
546,0,male
547,1,female
548,1,male
549,0,male
550,1,male
551,1,male
552,0,male
553,0,male
554,1,male
555,1,female
556,0,male
557,1,female
558,0,male
559,1,female
560,1,female
561,0,male
562,0,male
563,0,male
564,0,male
565,0,female
566,0,male
567,0,male
568,0,female
569,0,male
570,1,male
571,1,male
572,1,female
573,1,male
574,1,female
575,0,male
576,0,male
577,1,female
578,1,female
579,0,female
580,1,male
581,1,female
582,1,female
583,0,male
584,0,male
585,0,male
586,1,female
587,0,male
588,1,male
589,0,male
590,0,male
591,0,male
592,1,female
593,0,male
594,0,female
595,0,male
596,0,male
597,1,female
598,0,male
599,0,male
600,1,male
601,1,female
602,0,male
603,0,male
604,0,male
605,1,male
606,0,male
607,0,male
608,1,male
609,1,female
610,1,female
611,0,female
612,0,male
613,1,female
614,0,male
615,0,male
616,1,female
617,0,male
618,0,female
619,1,female
620,0,male
621,0,male
622,1,male
623,1,male
624,0,male
625,0,male
626,0,male
627,0,male
628,1,female
629,0,male
630,0,male
631,1,male
632,0,male
633,1,male
634,0,male
635,0,female
636,1,female
637,0,male
638,0,male
639,0,female
640,0,male
641,0,male
642,1,female
643,0,female
644,1,male
645,1,female
646,1,male
647,0,male
648,1,male
649,0,male
650,1,female
651,0,male
652,1,female
653,0,male
654,1,female
655,0,female
656,0,male
657,0,male
658,0,female
659,0,male
660,0,male
661,1,male
662,0,male
663,0,male
664,0,male
665,1,male
666,0,male
667,0,male
668,0,male
669,0,male
670,1,female
671,1,female
672,0,male
673,0,male
674,1,male
675,0,male
676,0,male
677,0,male
678,1,female
679,0,female
680,1,male
681,0,female
682,1,male
683,0,male
684,0,male
685,0,male
686,0,male
687,0,male
688,0,male
689,0,male
690,1,female
691,1,male
692,1,female
693,1,male
694,0,male
695,0,male
696,0,male
697,0,male
698,1,female
699,0,male
700,0,male
701,1,female
702,1,male
703,0,female
704,0,male
705,0,male
706,0,male
707,1,female
708,1,male
709,1,female
710,1,male
711,1,female
712,0,male
713,1,male
714,0,male
715,0,male
716,0,male
717,1,female
718,1,female
719,0,male
720,0,male
721,1,female
722,0,male
723,0,male
724,0,male
725,1,male
726,0,male
727,1,female
728,1,female
729,0,male
730,0,female
731,1,female
732,0,male
733,0,male
734,0,male
735,0,male
736,0,male
737,0,female
738,1,male
739,0,male
740,0,male
741,1,male
742,0,male
743,1,female
744,0,male
745,1,male
746,0,male
747,0,male
748,1,female
749,0,male
750,0,male
751,1,female
752,1,male
753,0,male
754,0,male
755,1,female
756,1,male
757,0,male
758,0,male
759,0,male
760,1,female
761,0,male
762,0,male
763,1,male
764,1,female
765,0,male
766,1,female
767,0,male
768,0,female
769,0,male
770,0,male
771,0,male
772,0,male
773,0,female
774,0,male
775,1,female
776,0,male
777,0,male
778,1,female
779,0,male
780,1,female
781,1,female
782,1,female
783,0,male
784,0,male
785,0,male
786,0,male
787,1,female
788,0,male
789,1,male
790,0,male
791,0,male
792,0,male
793,0,female
794,0,male
795,0,male
796,0,male
797,1,female
798,1,female
799,0,male
800,0,female
801,0,male
802,1,female
803,1,male
804,1,male
805,1,male
806,0,male
807,0,male
808,0,female
809,0,male
810,1,female
811,0,male
812,0,male
813,0,male
814,0,female
815,0,male
816,0,male
817,0,female
818,0,male
819,0,male
820,0,male
821,1,female
822,1,male
823,0,male
824,1,female
825,0,male
826,0,male
827,0,male
828,1,male
829,1,male
830,1,female
831,1,female
832,1,male
833,0,male
834,0,male
835,0,male
836,1,female
837,0,male
838,0,male
839,1,male
840,1,male
841,0,male
842,0,male
843,1,female
844,0,male
845,0,male
846,0,male
847,0,male
848,0,male
849,0,male
850,1,female
851,0,male
852,0,male
853,0,female
854,1,female
855,0,female
856,1,female
857,1,female
858,1,male
859,1,female
860,0,male
861,0,male
862,0,male
863,1,female
864,0,female
865,0,male
866,1,female
867,1,female
868,0,male
869,0,male
870,1,male
871,0,male
872,1,female
873,0,male
874,0,male
875,1,female
876,1,female
877,0,male
878,0,male
879,0,male
880,1,female
881,1,female
882,0,male
883,0,female
884,0,male
885,0,male
886,0,female
887,0,male
888,1,female
889,0,female
890,1,male
891,0,male
